empresa,pabellon,stand,ciudad,representante,email_principal,emails_adicionales,total_emails,descripcion_negocio,sitio_web
Statkraft Chile,Pabellón Litio,1012,Santiago,No encontrado,contacto@statkraft.com,,1,"Statkraft es el mayor generador de energía renovable de Europa. Producimos energía hidroeléctrica, eólica y solar y somo",www.statkraft.cl
Tectramin Chile SpA,Pabellón Litio,979,Chile,No encontrado,ventas@tectramin.com,,1,Identificamos fugas en sistemas impermeabilizados y conducción de fluidos utilizando el campo eléctrico natural del terr,www.tectramin.com
TMC Transformers SpA,Pabellón Litio,848,Chile,No encontrado,marketing@tmctransformers.com,recruiting@tmctransformers.com,2,TMC is specialised in the production of dry-type transformers and cast resin transformers for different applications and,www.tmctransformers.com
Transformadores Tusan S.A.,Pabellón Litio,838-840,Chile,No encontrado,ventas@tusan.cl,,1,TUSAN – Tusan Saltear al contenido principal Tenemos la energía y el poder para transformarla P R O D U C T O S Transfor,www.tusan.cl
Asset Advisors Chile,Pabellón Molibdeno,1240,Chile,No encontrado,assetadvisors.cl@gmail.com,,1,Asesoría inmobiliaria comercial especializada en Chile. Maximizamos el valor de sus activos con estrategias personalizad,www.assetadvisors.cl
Calestarq Seguridad Vial SpA,Pabellón Molibdeno,1309,Chile,No encontrado,contacto@calestarq.cl,,1,Calestarq,www.calestarq.cl
Comercial Acuario Ltda,Pabellón Molibdeno,1213,Chile,No encontrado,ventas@comercialacuario.cl,,1,"Líder en repuestos desde 1983. Faros faeneros LED, balizas, corta corriente, ampolletas, alarmas y más para camiones, mi",www.comercialacuario.cl
Confecciones Butka Ltda.,Pabellón Molibdeno,1250-1251,Chile,No encontrado,contacto@butka.com,,1,BUTKA – Indumentaria de Seguridad y Vestuario Corporativo Ir al contenido Indumentaria Profesional y Seguridad En BUTKA ,www.butka.com
Constructora Vic,Pabellón Molibdeno,1220,Chile,No encontrado,contacto@constructoravic.cl,,1,"Constructora VIC | NUESTRA EXPERIENCIA, TU MEJOR CAMINO Experiencia profesional de más de 30 años en gestión de caminos.",www.constructoravic.cl
Cortec Corporation - Patiño Y Compañía,Pabellón Molibdeno,1315,Chile,No encontrado,productinfo@cortecvci.com,,1,Find Home details at Cortec Corporation. Contact us toll free at 1-800-426-7832 or productinfo@cortecvci.com.,www.cortecvci.com
Fábrica Moisés Calama,Pabellón Molibdeno,1272,Calama,No encontrado,contacto@fabricamoises.cl,,1,Fábrica Moisés Ir al contenido NUEVOS PRODUCTOS CATEGORÍAS Ropa de trabajo corporativa Protección a los pies Protección ,www.fabricamoises.cl
Fluycom SpA,Pabellón Molibdeno,1264,Chile,No encontrado,ventas@fluycom.cl,,1,Fluycom - Somos líderes nacionales en suministro de aceros especiales,www.fluycom.cl
Grupo Antko,Pabellón Molibdeno,1248,Antofagasta,No encontrado,ventas@antko.cl,,1,ANTKO – Soluciones en agua Comparar Inicio Quiénes somos Acero Válvulas HDPE Termoplásticos Accesorios Filtración Contac,www.antko.cl
Hima Ltda.,Pabellón Molibdeno,1313-1314,Chile,No encontrado,contacto@hima.cl,ventas01@hima.cl,2,"Compra ropa EPP ignÃ­fuga FR y AR certificada por ISP en HIMA. Ropa y calzado dielÃ©ctricos, overoles ignÃ­fugos y prote",www.hima.cl
Ingeniería y Servicios Orbitec SpA,Pabellón Molibdeno,1234,Chile,No encontrado,contacto@orbitec.cl,,1,Nos dedicamos al suministro de vehÃ­culos especializados y equipos de aplicaciones ambientales fabricados y configurados,www.orbitec.cl
Ingeteco SpA,Pabellón Molibdeno,1260,Chile,No encontrado,cotizaciones@ingeteco.cl,,1,"Ingeteco INGETECO Tecnología Contra Incendios Empresa lider en ofrecer servicios de ingeniería, montaje de sistemas de d",www.ingeteco.cl
Itsanet S.A.,Pabellón Molibdeno,1230-1231,Chile,No encontrado,contactos@itsanet.com,,1,Tu socio logístico en la región,www.itsanet.com
Maisver Mecanizados Ltda.,Pabellón Molibdeno,1308,Chile,No encontrado,contabilidad2@maisver.cl,contabilidad@maisver.cl | maisver@maisver.cl,3,"Maisver – Motores Eléctricos, bombas, balanceo dinámico. Saltar al contenido Sin resultados Maisver: Electromecánica Ind",www.maisver.cl
Raico S.A.,Pabellón Molibdeno,1298-1327,Santiago,No encontrado,info@raico.cl,,1,"Raico.cl Venta y arriendo de maquinaria - para movimiento de tierra, manejo de material y cosecha forestal. - Venta de r",www.raico.cl
Swastic Drilling Co & Maquinet SpA,Pabellón Molibdeno,1252-1253,Chile,No encontrado,administracion@maquinet-spa.cl,,1,MaquiNet Chile | Importación directa de equipos de perforación +56 9 2684 0204 administracion@maquinet-spa.cl MaquiNet e,www.maquinetchile.cl
Track Rail SpA,Pabellón Molibdeno,1305,Chile,No encontrado,contacto@trackrail.cl,,1,TrackRail Email: contacto@trackrail.cl Bienvenidos a TRACKRAIL Que hacemos! Mantenimiento de infraestructura ferroviaria,www.trackrail.cl
Transportes Santa Eva,Pabellón Molibdeno,1214,Chile,No encontrado,contacto@transe.cl,,1,"Especialistas en transporte sobre dimensionado por carretera, para transportar las cargas más exigentes del mercado mine",www.transe.cl
Alma Norte,Pabellón Oro,1128,Antofagasta,No encontrado,contacto@almanorte.cl,61905114emailcontacto@almanorte.cl,2,,www.almanorte.cl
Andeslevers SpA,Pabellón Oro,1106,Chile,No encontrado,contacto@andeslevers.cl,,1,Andes Levers Inicio - Andes Levers Your browser does not support the video tag. Líderes en el desarrollo de soluciones e,www.andeslevers.cl
Arquitectura y Construcción Tecno Textil S.A.,Pabellón Oro,1179,Chile,No encontrado,asistenteg@arcotex.cl,,1,Arcotex – Expertos en sistemas de ventilación para minería y túneles Ir al contenido Sistemas de ventilación para minerí,www.arcotex.cl
Aspen SpA,Pabellón Oro,1088,Chile,No encontrado,contacto@aspenspa.cl,,1,Promovemos valor y calidad para una minería sustentable Años de Experiencia + 0 Servicios Vigentes + 0 Colaboradores + 0,www.aspenspa.cl
Bekaert Ropes Chile S.A.,Pabellón Oro,1210,Santiago (Maipú),Evelyn Berríos (Cust. Service & Mktg),ventas@bekaert.com,,1,"Lifting and Mooring - Bekaert Header L&M Bridon® Precision-engineered ropes, driving performance and productivity. Explo",ropes.bekaert.com
Buron SpA,Pabellón Oro,1130,Chile,No encontrado,buron@buron.cl,,1,,www.buron.cl
Caudalex SpA,Pabellón Oro,1109,Chile,No encontrado,info@caudalex.cl,,1,Comprometidos en ofrecer la mejor tecnología y en condiciones competitivas para llevar adelante sus proyectos de sistema,www.caudalex.cl
Cía. Minera Cordillera Chile Scm,Pabellón Oro,1178,Chile,No encontrado,contact@cmcordillera.cl,,1,"Compañía Minera Cordillera – Calidad Única en Sal Conoce más en un área desértica libre de contaminación ambiental, hura",www.cmcordillera.cl
Comercial Texmundo S.A.,Pabellón Oro,1119,Chile,No encontrado,ventas@texsco.cl,,1,Inicio - texsco +562 2677 0300 ventas@texsco.cl Texsco Vanguardia en ácero inoxidable Texsco Vanguardia en ácero inoxida,www.texsco.cl
Copper Capacitación Ltda.,Pabellón Oro,1192,Antofagasta,No encontrado,ventas@coppercapacitacion.cl,,1,copper | OTEC +56 552 554492 ventas@coppercapacitacion.cl Facebook X Instagram RSS Facebook X Instagram RSS Nosotros! So,www.coppercapacitacion.cl
Hs Rodados Mantenimiento y Servicios Spa,Pabellón Oro,1111,Chile,No encontrado,cmunoz@hsrodados.cl,,1,HSRodados es una empresa chilena especializada en servicios de mantenimiento y reparaciÃ³n de trenes de rodados para equ,www.hsrodados.cl
IGD Chile,Pabellón Oro,1132,Chile,No encontrado,contacto@igdchile.com,,1,"IGD CHILE S.A | Ingeniería, gestión y desarrollo INGENIERÍA, GESTIÓN & DESARROLLO Nos especializamos en todo tipo de dis",www.igdchile.com
Inquinat Chile Ltda,Pabellón Oro,1046,Chile,No encontrado,ventas.cl@inquinat.com,,1,"Inicio - Inquinat PROFESIONALES ESPECIALIZADOS Somos la empresa lÃ­der en tratamiento de aguas, con vasto reconocimiento",www.inquinat.cl
ITL Chile,Pabellón Oro,1079A,Chile,No encontrado,contacto@itlchile.com,,1,El Instituto de Tecnologías Limpias (ITL) es un centro de innovación y desarrollo tecnológico que impulsa soluciones sus,www.itlchile.com
Madepal SpA,Pabellón Oro,1081,Chile,No encontrado,ventas@madepal.cl,,1,"Pallets de madera a medida - Embalajes plegables - Madepal líderes en fabricación, ventas y distribución de pallets, emb",www.madepal.cl
MJI Ltda.,Pabellón Oro,1125,Chile,No encontrado,ventas@mjiltda.cl,epalacios@mjiltda.cl | miguel@queonda.art,3,En MJI Ltda. desarrollamos productos químicos orgánicos y sostenibles para agricultura y minería. Mejora tu producción y,www.mjiltda.cl
Planve SpA,Pabellón Oro,1107,Chile,No encontrado,contacto@planve.cl,,1,https://planve.cl/wp-content/uploads/2025/04/planve-video-MDI360-720p-h264.mp4 Quiénes Somos PLANVE es una empresa dedic,www.planve.cl
Plastigen SpA,Pabellón Oro,1199,Chile,No encontrado,contacto@plastigen.cl,rrojas@plastigen.cl,2,"Soluciones en Polímeros y Productos Industriales La mejor calidad en polímeros, productos y soluciones industriales Prod",www.plastigen.cl
Provaltec SpA,Pabellón Oro,1180,Chile,No encontrado,contactoweb@provaltec.cl,,1,"Provaltec ofrece soluciones industriales de alta calidad en filtros, válvulas y accesorios para optimizar tus procesos. ",www.provaltec.cl
Purcell Cerliani SpA,Pabellón Oro,1126,Chile,No encontrado,ventas@purcellcerliani.cl,,1,Soluciones tecnológicas para minería y grúas. Desarrollo de hardware industrial robusto y automatización en Chile,www.purcellcerliani.cl
Servicios LyG,Pabellón Oro,1038,Chile,No encontrado,contacto@servicioslyg.cl,,1,Servicios LyG – Elementos de protección personal y Artículos de ferretería Bienvenidos a Servicios LyG: Abastecimiento M,www.servicioslyg.cl
SSAB Chile,Pabellón Oro,1118,Santiago,No encontrado,contact@ssab.com,contact_china@ssab.com | contact_korea@ssab.com | contactargentina@ssab.com | contactcanada@ssab.com | contactchile@ssab.com | contactchina@ssab.com | contactcolombia@ssab.com | contactgreece@ssab.com | contactindia@ssab.com | contactjapan@ssab.com | contactkorea@ssab.com | contactmexico@ssab.com | contactperu@ssab.com | contactusa@ssab.com | u003econtact@ssab.com | u003econtactargentina@ssab.com | u003econtactcanada@ssab.com | u003econtactchile@ssab.com | u003econtactindia@ssab.com | u003econtactkorea@ssab.com | u003econtactusa@ssab.com | sales.specialsteelsbaltics@ssab.com | info.benelux@ssab.com | info.cz@ssab.com | info.es@ssab.com | info.fr@ssab.com | info.pt@ssab.com | info.turkiye@ssab.com | info.za@ssab.com | abderrahim.saadni@ssab.com | australia@ssab.com | bernard.seah@ssab.com | biuro.pl@ssab.com | borlange@ssab.com | cheekheng.soo@ssab.com | dimitar.delchev@ssab.com | edmunds.skaubitis@ssab.com | firmapost.norge@ssab.com | fredrik.sundstrom@ssab.com | ichizo.oku@ssab.com | jannes.maeots@ssab.com | jose.moutinho@ssab.com | justas.gaizutis@ssab.com | kontakt@ssab.com | koonbk@ssab.com | lee.bradshaw@ssab.com | mark.dao@ssab.com | martin.steudel@ssab.com | matija.zegrec@ssab.com | metals.hungary@ssab.com | mostafa.hussein@ssab.com | nebojsa.bogojevic@ssab.com | nfirmapost.norge@ssab.com | ozgur.yalcin@ssab.com | raymond.rautenbach@ssab.com | romania@ssab.com | rustam.muminov@ssab.com | ryan.sanders1@ssab.com | ssab.italia@ssab.com | ssabuk@ssab.com | subodh.shinde@ssab.com | u003eborlange@ssab.com | u003ematija.zegrec@ssab.com | u003emostafa.hussein@ssab.com | u003evendas@ssab.com | us_pit_mail_u_m_003547@ssab.com | vendas@ssab.com | yoanita.d@ssab.com | yudai.hizaki@ssab.com,70,SSAB is a Nordic and US-based steel company. SSAB offers value added products and services developed in close cooperatio,www.ssab.com
Transformadores CH S.A.,Pabellón Oro,1198,Chile,No encontrado,ventas@transformadores.cl,ch@transformadores.cl | zonanorte@transformadores.cl,3,"Transformadores CH especialista en dar soluciones a medida a los clientes en la fabricación de transformadores, pad moun",www.transformadores.cl
Transportes y Servicios Mercosur y Cía. Ltda.,Pabellón Oro,1195,Chile,No encontrado,fperez@mercosurspa.cl,,1,,www.mercosurspa.cl
Yprotec SpA,Pabellón Oro,1089,Chile,No encontrado,contacto@yapur.cl,,1,Yprotec - Distribuidora oficial de GRACO en Chile. Soporte técnico y comercial en todo el país.,www.yprotec.cl
Boyuan Safety Chile,Pabellón Plata,296,Chile,No encontrado,vrojas@boyuansafety.cl,,1,Elementos de Protección Industrial – COLOMBIA | CHILE Saltar al contenido Nuevo Fono ATLAS Protector auditivo tipo copa ,www.boyuansafety.com
Brain Treatment Center Chile,Pabellón Plata,484,Chile,No encontrado,contacto@braintreatmentcenter.cl,,1,Terapia MeRT en Chile con tecnología de neuromodulación personalizada basada en mapeo cerebral. Terapia Libre de Fármaco,www.braintreatmentcenter.cl
Codifil Filtracion Ltda.,Pabellón Plata,625,Chile,No encontrado,ventas@codifil.cl,,1,CODIFIL – Líder en manufacturas textiles industriales para filtración Ir al contenido Menú Fabrica de filtros para proce,www.codifil.cl
Comercial Química Massó Chile SpA,Pabellón Plata,527,Chile,No encontrado,masso@cqmasso.com,,1,"Más de 60 años avalan nuestra experiencia en la fabricación, formulación y distribución de productos de marcas represent",www.cqmasso.com
Crosspipe Systems S.A.,Pabellón Plata,338,Chile,No encontrado,izepeda@crosspipe.cl,,1,Crosspipe provee soluciones en tuberías de polietileno reticulado de diseño único y adaptable con gran resistencia quími,www.crosspipe.cl
Diproseg Ltda.,Pabellón Plata,335,Chile,No encontrado,diproseg@diproseg.cl,,1,"Diproseg - Empresa creada en Antofagasta, Chile. especialistas en la mantención e inspección de extintores portátiles",www.diproseg.cl
Edaltec Ltda.,Pabellón Plata,345,Chile,No encontrado,contacto@edaltec.cl,,1,EDALTEC es una empresa internacional líder en el desarrollo de soluciones integrales para el área de energía. ¡Visita nu,www.edaltec-group.com
Flow Systems SpA,Pabellón Plata,486,Chile,No encontrado,contacto@flow-systems.cl,,1,sistemas de riego mineria y agricultura,www.flow-systems.cl
Foxmin Ltda.,Pabellón Plata,521,Chile,No encontrado,contacto@foxmin.cl,,1,"Foxmin Search ... $ 0 0 Carrito Lithium LT 502: Comodidad que Eleva tu Desempeño Rendimiento superior, confort absoluto ",www.foxmin.cl
Grupo Belator,Pabellón Plata,613,Chile,No encontrado,contacto@belator.cl,contacto@grupobelator.cl,2,"Entregamos proyectos de seguridad integrados, en sectores donde es necesaria la protección de infraestructura crítica de",www.grupobelator.cl
Grupo Maritex,Pabellón Plata,377-428,Chile,No encontrado,ecommerce@grupomaritex.cl,ejemplo@mail.com,2,Maritex Despacho gratis por compras mayores a $29.990 en la Región Metropolitana Entrar Ropa de Trabajo Ropa Corporativa,www.maritex.cl
GSP-Chile,Pabellón Plata,533-534,Santiago,No encontrado,soporteventas@gsp-chile.com,info@gsp-chile.com,2,Productos de alta calidad y certificados,www.gsp-chile.com
Ingemecanic Ingeniería SpA,Pabellón Plata,485,Chile,No encontrado,williams.rebolledo@ingemecanic.cl,,1,"INGEMECANIC – Mecánica, Piping, Estructuras, Obras Civiles y Electro-control, ofreciendo el desarrollo integral de proye",www.ingemecanic.cl
Intronica Ltda. - Fluke,Pabellón Plata,282,Santiago,No encontrado,ventas@intronica.com,bodega@intronica.com,2,Instrumentos de medición para variables eléctricas y electrónicas. Distribuidor Master de Fluke y Tektronix en Chile.,www.intronica.com
Klinger Chile,Pabellón Plata,523,Santiago,No encontrado,gral@klinger.cl,gral@saidi.es,2,KLINGER Chile es una empresa de referencia en el Control de Fluidos. Formamos parte del Grupo KLINGER® acreditada pioner,www.klinger.cl
Krah America Latina S.A.,Pabellón Plata,432-434,Santiago,No encontrado,immo@reichenbaecher.eu,,1,Home Herzlich willkommen bei Immobilien Claudia Reichenbächer Ihre Service-Adresse für Immobilien in Landsberg am Lech u,www.krah.eu
Metaservice Ltda.,Pabellón Plata,556,Chile,No encontrado,contacto@metaservice.cl,,1,"Metaservice ofrece soluciones avanzadas para data centers, seguridad de redes y telecomunicaciones. TecnologÃ­a confiabl",www.metaservice.cl
Pavimentos Quilín Ltda.,Pabellón Plata,529,Chile,No encontrado,ventas@quilin.cl,,1,Quilin | Más de 40 años en soluciones de ingeniería y construcción Somos una de las empresas líderes en Chile en constru,www.quilin.cl
Reicotex Tecnología SpA,Pabellón Plata,517,Chile,No encontrado,reicotex@reicotex.cl,santiago.reicotex@reicotex.cl,2,,www.reicotex.cl
Rivet Ltda.,Pabellón Plata,557-587,Chile,No encontrado,info@rivet.cl,,1,RIVET » Productos Transporte de Minerales Ver Productos Productos Clasificación de Minerales y Protección de Superficies,www.rivet.cl
Rocktrain SpA,Pabellón Plata,624,Chile,No encontrado,contacto@rocktrain.cl,,1,,www.rocktrain.cl
Rodamendez Ltda.,Pabellón Plata,346-402,Chile,No encontrado,contacto@rodamendez.cl,,1,"Rodamendez | Rodamientos, Chumaceras, Soportes, Manguitos, Cadenas, Piñones, Correas, Poleas, Conexiones, Acoples, Bujes",www.rodamendez.cl
Segusa Chile SpA,Pabellón Plata,618,Chile,No encontrado,gerenciacomercial@segusachile.cl,ventas5@segusachile.cl | ventas@segusachile.cl,3,Inicio - Segusa Chile TU SEGURIDAD... NUESTRA PRIORIDAD Somos una empresa con una sólida trayectoria de más de 25 años c,www.segusachile.cl
Sotrafa S.A.,Pabellón Plata,483,Chile,No encontrado,info@sotrafa.com,,1,En Sotrafa producimos una amplia gama de plásticos agrícolas y geomembranas. Conoce sus usos y cuál se adapta mejor a tu,www.sotrafa.com
Vertical Mine Chile SpA,Pabellón Plata,435,Chile,No encontrado,mrodriguez@vmc.cl,nombre@correo.com | srojas@vmc.cl | jperez@rentalminechile.cl | lfbeltran@rentalminechile.cl | contacto@vmc.cl,6,,www.verticalminechile.cl
Yura Chile,Pabellón Plata,574-575,Chile,No encontrado,contacto@yura.cl,ventas.arica@yura.cl | ventas.iquique@yura.cl | logistica.arica@yura.cl | logistica.iquique@yura.cl,5,"Cemento Yura Chile, empresa Chilena de capitales Peruanos con más de 52 años de experiencia en el sector construcción, y",www.yura.cl
Atecmin Ltda.,Pabellón Yodo,742,Chile,No encontrado,ventas@atecmin.cl,,1,"Venta de productos y servicios asociados a la señalización de advertencia para la minería, vehículos, concesionarias e i",www.atecmin.cl
BCM Servicios Mineros,Pabellón Yodo,706,Santiago (Quinta Normal),No encontrado,ventas@bcmservicios.cl,,1,"BCM Inicio - BCM SUMINISTRO DE PIEZAS, PARTES Y COMPONENTES PARA EQUIPOS DE MINERÍA Especializados en equipos Epiroc, Sa",www.bcmservicios.cl
Bombas de Pozo Ltda.,Pabellón Yodo,804,Santiago (Colina),Aarón Villalonga (Gte. Comercial),ventas@bombasdepozo.cl,,1,"Bombas de Pozo: liderazgo y más de 30 años de experiencia. Bombas sumergibles, tuberías flexibles, productos de fabricac",www.bombasdepozo.cl
CMS Cepcor Chile SpA,Pabellón Yodo,626,Santiago,No encontrado,sales@cmscepcor.com,,1,"CMS Cepcor is Europe's leading aftermarket manufacturer and supplier of crusher, screen & asphalt plant parts and servic",www.cepcor.com
Corporación Proloa,Pabellón Yodo,760,Antofagasta,No encontrado,secretaria@proloa.cl,,1,"Proloa – Corporación sin fines de lucro Ir al contenido admin julio 16, 2024 7:35 pm FONDO EMPRÉNDETE 2026 DESCARGA BASE",www.proloa.cl
Danus Conexiones SpA,Pabellón Yodo,630,Chile,No encontrado,ventas@danus.cl,,1,Inicio2020 Catalogo Danus Suscríbete y descarga totalmente gratis nuestro nuevo catalogo Danus DESCARGA GRATIS Enviar li,www.danus.cl
Datamine Chile S.A.,Pabellón Yodo,764,Santiago (Providencia),Cristian García Pino (Country Manager),cristian.garcia@dataminesoftware.com,,1,Datamine is a leading software provider that enables efficient & sustainable mining through the application of world-lea,www.dataminesoftware.com
DMI Projects Global Logistics Ltda.,Pabellón Yodo,738,Chile,No encontrado,dmichea@dmiprojects.cl,mfernandez@dmiprojects.cl | corias@dmiprojects.cl | comercial@dmiprojects.cl,4,,www.dmiprojects.cl
Endress + Hauser Chile Ltda.,Pabellón Yodo,690,Santiago (Huechuraba),No encontrado,info.cl@endress.com,,1,Challenge Validation,www.cl.endress.com
Eurocomercial Sistemas Contra Incendios,Pabellón Yodo,800,Chile,No encontrado,info@eurocomercial.cl,,1,"Euro Comercial, Sistemas contra Incendios en Chile. Diseño, ingeniería, mantención y venta de extintores, gabinetes, man",www.eurocomercial.cl
Hormigones Copat Ltda.,Pabellón Yodo,682,Antofagasta,No encontrado,contacto@copat.cl,,1,"Hormigones de Concreto en Antofagasta. Ofrecemos mezclas certificadas, entrega puntual y soluciones confiables para cons",www.copat.cl
"Mine Partner Soluciones Generales Para La Minería, S.A.",Pabellón Yodo,737,Chile,No encontrado,ventas@minepartner.cl,,1,"ReparaciÃ³n de Herramientas en Antofagasta, FabricaciÃ³n y restauraciÃ³n de equipos mineros. Arriendo camiÃ³n tolva",www.minepartner.cl
MT Equipos SpA,Pabellón Yodo,793,Chile,No encontrado,ventas@mtmingenieria.cl,martin.tapia@mtmingenieria.cl,2,"construccion maquinas minera, mining machine making",www.mtmingenieria.cl
Prein Chile Ltda.,Pabellón Yodo,744-745,Chile,No encontrado,contactos@preinchile.cl,,1,PREIN CHILE - PRESTACIONES INDUSTRIALES CHILE Prein Chile - Prestaciones Industriales +56 2 24957755 Prestaciones Indust,www.preinchile.cl
Prodalam Minería,Pabellón Yodo,807-808,Santiago,No encontrado,ventas@prodalam.cl,altohospicio@prodalam.cl | angol@prodalam.cl | antofagasta@prodalam.cl | arica@prodalam.cl | ayuda@prodalam.cl | calama@prodalam.cl | castro@prodalam.cl | chillan@prodalam.cl | chillannorte@prodalam.cl | concon@prodalam.cl | copiapo@prodalam.cl | coquimbo@prodalam.cl | coronel@prodalam.cl | coyhaique@prodalam.cl | curico@prodalam.cl | iquique@prodalam.cl | lacalera@prodalam.cl | laserena@prodalam.cl | launion@prodalam.cl | linares@prodalam.cl | llanquihue@prodalam.cl | losangeles@prodalam.cl | melipilla@prodalam.cl | osorno@prodalam.cl | ovalle@prodalam.cl | puertomontt@prodalam.cl | puntaarenas@prodalam.cl | rancagua@prodalam.cl | renca@prodalam.cl | salamanca@prodalam.cl | sanfelipe@prodalam.cl | sanfernando@prodalam.cl | sanignacio@prodalam.cl | sanvicente@prodalam.cl | seguridadelectronica@prodalam.cl | talca@prodalam.cl | talcahuano@prodalam.cl | temuco@prodalam.cl | valdivia@prodalam.cl | villaalemana@prodalam.cl | villarrica@prodalam.cl,42,"Especialistas en Aceros, Mallas, Alambres, Cercos, Contención y Fortificación, Construcción y Terminaciones, Clavos y Fi",www.prodalam.cl
Resolutions - Soluciones Integrales de Comunicación,Pabellón Yodo,705,Chile,No encontrado,ventas@resolutions.cl,,1,"Soluciones Tecnológicas en comunicación, seguridad y operación continua Resolutions - Trabajamos con marcas líderes en T",www.resolutions.cl
Sattel Chile,Pabellón Yodo,762,Chile,No encontrado,contacto@sattelchile.cl,rzuniga@marketing-lab.cl,2,"Empresa de diseño, desarrollo e implementación de soluciones tecnológicas para la minería nacional e internacional.",www.sattelchile.cl
Schussler S.A.,Pabellón Yodo,746,Chile,No encontrado,ventas@schussler.cl,,1,Schussler S.A – Empresa nacional de productos de ingeniería Ir al contenido Schussler S.A Empresa nacional de productos ,www.schussler.cl
Stec SpA,Pabellón Yodo,659,Chile,No encontrado,contacto@stecindustrial.cl,,1,"Servicios a Sectores industriales en el área de servicios y mantenimiento industrial, como también el suministro de equi",www.stecindustrial.cl
Tiar Ltda. - Cidra,Pabellón Yodo,752,Chile,No encontrado,tiar@tiar.cl,,1,"Representamos Tecnología de Clase MundialDistribuimos equipos de marcas como KROHNE, Bronkhorst y Sitelab, reconocidas p",www.tiarltda.cl
Ventas Técnicas Ltda.,Pabellón Yodo,684,Chile,No encontrado,contacto@ventastecnicas.cl,contacto@ventastecnicas.pe,2,Ventas técnicas Enter your keyword Search Expertos en Call Center Reconocidos por su alta performance y especialización ,www.ventastecnicas.cl
Veto y Cía.,Pabellón Yodo,660,Chile,No encontrado,ventas@veto.cl,,1,PRODUCTOS Servicios Distribuidores Blog Contáctenos CATÁLOGO OUTLET Nivel Flujo Presión Temperatura Análisis de Líquido ,www.veto.cl
